predicate	lemma	valence1	valence2	elliptic_valence	conj	ctrl	type	pred1	pred2	pred3
ccomp	accepta	('ccomp',)	('obj',)	()	să		deont	INTENT.subj.P	VREA.x.P	
ccomp	accepta	('ccomp',)	('obj',)	()	că		epist	STIE(s).subj.P		
ccomp:pmod	acuza	('ccomp:pmod', 'obj')	('obj', 'obl:pmod')	('obj',)	că		epist	DICE.subj.P.obj	CREDE.subj.P.obj	APREC(-).subj.P
ccomp	afla	('ccomp',)	('obj',)	()	că		epist	STIE(s).subj.P		
ccomp	ajunge	('ccomp',)	('obj',)	()	să	Y	face	P(s).subj		
ccomp:pmod	ajuta	('ccomp:pmod',)	('obl:pmod',)	()	să		face	P	VREA.subj.P	APREC(+).subj.P
ccomp:pmod	ajuta	('ccomp:pmod', 'obj')	('obj', 'obl:pmod')	('obj',)	să	Y?	face	P.obj		APREC(+).subj.P
ccomp:pmod	amenința	('ccomp:pmod', 'obj')	('obj', 'obl:pmod')	('obj',)			deont	DICE.subj.P	STIE.obj.P	APREC(-).x.P
ccomp	aminti	('ccomp',)	('obj',)	()	că		epist	DICE.subj.P		
ccomp	aminti	('ccomp', 'iobj')	('iobj', 'obj')	('iobj',)	să	Y	deont	DICE.subj.P.iobj	TREBUIE.iobj.P.iobj	
ccomp	aminti	('ccomp', 'iobj')	('iobj', 'obj')	('iobj',)	că	Y	info	DICE.subj.P	STIE.obj.P	
ccomp:pmod	angaja	('ccomp:pmod', 'expl:pv')	('expl:pv', 'obl:pmod')	('expl:pv',)	să		deont	INTENT.subj.P		
ccomp:pmod	anunța	('ccomp:pmod', 'obj')	('obj', 'obl:pmod')	('obj',)	că		info	DICE.subj.P	STIE.obj.P	
xcomp	anunța	('obj', 'xcomp')	('obj', 'obl:pmod')	('obj',)	să	Y?	deont	DICE.subj.P	TREBUIE.obj.P	
xcomp	anunța	('obj', 'xcomp')	('obj', 'obl:pmod')	('obj',)	că		epist	DICE.subj.P	STIE.obj.P	
ccomp	apuca	('ccomp',)	('obj',)	()	să		face	P.subj	CAPABIL.subj.P	
ccomp	arăta	('ccomp',)	('obj',)	()	că		raport	DICE.subj.P		
ccomp:pmod	asigura	('ccomp:pmod', 'obj')	('obj', 'obl:pmod')	('obj',)	că		raport	DICE.subj.P	CREDE.obj.P	
ccomp	aștepta	('ccomp',)	('obj',)	()	să	Y	aspect	P(-)		
