head	deprel	count	function	contrast	function2
care	nsubj	2873	rel		
iar	cc	1367	coord	Y	
după ce	mark	1256	timp		
că	mark	4226	sconj		
să	mark	7225	SA		
care	obj	893	rel		
căci	mark	25	cauza-efect		
fără	mark	98	cauza-efect	Y	
și	cc	4587	coord		
după	mark	13	timp		
care	obl	1546	rel		
dar	cc	1047	coord	Y	
ce	obj	301	rel		
de ce anume	advmod	1	cauza-efect		
de ce	advmod	58	cauza-efect		
ce	nsubj	458	rel		
de	mark	413			
cine	obl	19	rel		
unde	advmod	535	rel		
ca	mark	555	sconj		
ci	cc	53	coord	Y	
acela ce	nsubj	114	rel		
a	mark	998	inf		
pentru	mark	523	scop		
cum	advmod	550	rel		
atunci când	advmod	141	rel		
deși	mark	188	cauza-efect	Y	
însă	cc	422	coord		
pentru că	mark	633	cauza-efect		
din	mark	10			
încât	mark	43	cauza-efect		
o	mark	178			
dacă	mark	689	cauza-efect		raport
înainte ca	mark	10	timp		
când	advmod	757	rel		
de când	advmod	13	timp		
acela ce	obj	66	rel		
înainte de	mark	43	timp		
care	nsubj:pass	159	rel		
cine ști ce	nsubj	1	expr		
după care	mark	6	timp		
sau	cc	170	coord	Y	
decât	mark	45	rel		
care	nmod	24	rel		
pentru ce	mark	14	cauza-efect		
chiar dacă	mark	111	cauza-efect		
așa cum	advmod	128	rel		report
imediat ce	mark	8	timp		
în timp ce	advmod	5	timp		
pentru ca	mark	66	scop		
la	mark	11			
deoarece	mark	67	cauza-efect		
ca tot	mark	3			
în timp ce	mark	270	timp		
din acela ce	advmod	1	rel		
după cum	mark	124	rel		report
așa că	mark	97	cauza-efect		
în	mark	8			
cât	advmod	147	rel		
cine	nsubj	62	rel		
înainte	mark	23	timp		
si	cc	38	coord		
ce	obl	18	rel		
cu tot că	mark	40	cauza-efect	Y	
de ce	mark	96	cauza-efect		
asupra	mark	1			
acela al ce	obj	1	rel		
care	obl:pmod	18	rel		
cum	advcl	4	rel		
fie	cc	17	coord	Y	
un	mark	10			
doar că	mark	11	coord	Y	
din ce	mark	12	rel		
cât	nsubj	2	rel		
până	mark	44	timp		
cu	mark	5			
despre	mark	17	raport		
ca și cum	mark	8	?		
pt	mark	6			
în loc	mark	6	coord	Y	
pe	mark	9			
oricum	advmod	24	rel		
ca să	mark	49	scop		
incat	nsubj	2			
astfel incat	mark	2	cauza-efect		
si	mark	2	coord		
acela	iobj	2			
când	advmod:tmod	35	rel		
de cât oară	advmod	2	timp		
chiar și	mark	2	coord		
pe măsură ce	mark	8	timp		
imediat ce	advmod	15	timp		
înainte să	mark	2	timp		
de la	mark	4			
astfel încât	mark	25	cauza-efect		
oricine	nsubj:pass	1	rel		
până când	mark	18	timp		
acela ce	nsubj:pass	6	rel		
orice	obl	2	rel		
atât	mark	1	rel		
cât și	cc	2	coord		
în funcție de ce	mark	2	cauza-efect		
păi	cc	1	coord		
întrucât	mark	23	cauza-efect		
deci	cc	40	coord		
oricine	nsubj	4	rel		
din moment ce	mark	20	cauza-efect		
astfel că	mark	50	cauza-efect		
fiindcă	mark	30	cauza-efect		
fără să	mark	3	cauza-efect	Y	
ce	advmod	1	rel		
pentreu	mark	1			
de când	mark	44	timp		
cine	obj	10	rel		
din cât	advmod	8	rel		
