Ellided	Lemma	Default Absent	Absent	Prezent	Prophylactic Absent
ccomp	accepta	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass		ccomp:pmod, xcomp:verb
ccomp:pmod	acuza	expl:pv, expl:impers, expl:pass, cop	expl:pv, obl:pmod	obj | aux:pass	ccomp, xcomp:verb
ccomp	admite	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass		ccomp:pmod, xcomp:verb
ccomp:pmod	aduce aminte	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass, obl:pmod		obl?despre, xcomp:verb
ccomp	aduce la cunoștință	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass		ccomp:pmod, xcomp:verb
ccomp	afirma	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass		ccomp:pmod, xcomp:verb
ccomp	afla	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass, obl:pmod		obl?despre, ccomp:pmod, xcomp:verb
ccomp:pmod	ajuta	expl:pv, expl:impers, expl:pass, cop	expl:pv, obl:pmod	obj | aux:pass	ccomp, xcomp:verb
ccomp:pmod	amenința	expl:pv, expl:impers, expl:pass, cop	expl:pv, obl:pmod	obj | aux:pass	ccomp, xcomp:verb
ccomp	aminti	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass, obl:pmod		obl?despre, ccomp:pmod, xcomp:verb
ccomp:pmod	angaja	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass, obl:pmod	expl:pv	ccomp, xcomp
ccomp	anunța	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass		obl?despre, ccomp:pmod, xcomp:verb
ccomp:pmod	anunța	expl:pv, expl:impers, expl:pass, cop	obl:pmod, xcomp	obj | aux:pass	obl?despre, ccomp, xcomp:verb
ccomp	aprecia	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass		ccomp:pmod, xcomp:verb
ccomp	aproba	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass		ccomp:pmod, xcomp:verb
ccomp:pmod	apuca	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass, obl:pmod	expl:pv	ccomp, xcomp:verb
ccomp	arăta	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass, obl:pmod		obl?despre, ccomp:pmod, xcomp, csubj
ccomp	argumenta	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass		ccomp:pmod, xcomp:verb
ccomp:pmod	asigura	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass, obl:pmod, iobj, expl:pv?dat	expl:pv	ccomp, xcomp:verb
ccomp:pmod	asigura	expl:pv, expl:impers, expl:pass, cop	expl:pv, obl:pmod, iobj, expl:pv?dat	obj | aux:pass	ccomp, xcomp:verb
ccomp:pmod	aștepta	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass, obl:pmod	expl:pv	ccomp, xcomp:verb
ccomp:pmod	atenționa	expl:pv, expl:impers, expl:pass, cop	expl:pv, obl:pmod	obj | aux:pass	ccomp, xcomp:verb
ccomp:pmod	autoriza	expl:pv, expl:impers, expl:pass, cop	expl:pv, obl:pmod	obj | aux:pass	ccomp, xcomp:verb
ccomp	auzi	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass, obl:pmod		obl?despre, obl:pmod, ccomp:pmod, xcomp:verb
ccomp	avea de gând	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass		ccomp:pmod, xcomp:verb
ccomp:pmod	avea grijă	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass, obl:pmod		ccomp, xcomp:verb
ccomp	avea în plan	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass		ccomp:pmod, xcomp:verb
ccomp	avea în vedere	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass		ccomp:pmod, xcomp:verb
ccomp:pmod	avea nevoie	expl:pv, expl:impers, expl:pass, cop	obj?norel, aux:pass, obl:pmod		ccomp, xcomp:verb
ccomp	avea voie	expl:pv, expl:impers, expl:pass, cop	obj?norel, aux:pass		ccomp:pmod, xcomp:verb
ccomp	avertiza	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass, obl:pmod		obl?despre, ccomp:pmod, xcomp:verb
ccomp:pmod	avertiza	expl:pv, expl:impers, expl:pass, cop	expl:pv, obl:pmod	obj | aux:pass	obl?despre, ccomp, xcomp, xcomp:verb
ccomp	băga de seamă	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass		ccomp:pmod, xcomp:verb
ccomp	bănui	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass		ccomp:pmod, xcomp:verb
ccomp	binevoi	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass		ccomp:pmod, obl:pmod, xcomp:verb
ccomp:pmod	bucura	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass, obl:pmod	expl:pv	ccomp, xcomp:verb
ccomp	cerca	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass		ccomp:pmod, xcomp:verb
ccomp	cere	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass		ccomp:pmod, xcomp:verb
ccomp	certifica	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass		ccomp:pmod, xcomp:verb
ccomp	citi	expl:pv, expl:impers, expl:pass, cop	obj, aux:pass, obl:pmod		obl?despre, ccomp:pmod, xcomp:verb
